,LakeID,SampleDate,CageNumber,AnimalNumber,GosnerStage,TadpoleWeight
704,10475,12-Aug-09,11,4,38,4.5
705,10475,12-Aug-09,11,5,41,3.9
706,10475,12-Aug-09,11,6,39,3.8
707,10475,12-Aug-09,11,8,30,1.3
708,10475,12-Aug-09,11,9,30,1.1
709,10475,12-Aug-09,11,10,29,1.3
710,10475,12-Aug-09,11,11,29,1.2
770,10475,12-Aug-09,13,1,41,3.7
771,10475,12-Aug-09,13,2,40,4.4
772,10475,12-Aug-09,13,3,39,4.1
773,10475,12-Aug-09,13,4,38,3.4
774,10475,12-Aug-09,13,5,37,3.2
775,10475,12-Aug-09,13,6,30,1.2
776,10475,12-Aug-09,13,7,29,1.3
777,10475,12-Aug-09,13,8,30,1.3
778,10475,12-Aug-09,13,9,30,1.3
779,10475,12-Aug-09,13,10,28,0.9
837,10475,12-Aug-09,16,1,38,5.2
838,10475,12-Aug-09,16,2,30,1.4
839,10475,12-Aug-09,16,3,37,3.7
840,10475,12-Aug-09,16,4,31,2.1
841,10475,12-Aug-09,16,5,31,1.1
842,10475,12-Aug-09,16,6,30,1.7
843,10475,12-Aug-09,16,7,31,1.2
844,10475,12-Aug-09,16,8,37,4.7
845,10475,12-Aug-09,16,9,28,1.1
846,10475,12-Aug-09,16,10,38, na
908,10475,12-Aug-09,17,1, na, na
909,10475,12-Aug-09,17,2,41,3.1
910,10475,12-Aug-09,17,3,41,4.6
911,10475,12-Aug-09,17,4,41,4.3
912,10475,12-Aug-09,17,5,37,3.4
913,10475,12-Aug-09,17,6,39,5.3
914,10475,12-Aug-09,17,7,38,4
915,10475,12-Aug-09,17,8, na, na
916,10475,12-Aug-09,17,9,37,4.3
917,10475,12-Aug-09,17,10,37,4
918,10475,12-Aug-09,17,11,32,1.1
919,10475,12-Aug-09,17,12,31,1.1
920,10475,12-Aug-09,17,13,29,1
921,10475,12-Aug-09,17,14,30,1
922,10475,12-Aug-09,17,15,29,0.9
923,10475,12-Aug-09,17,16,29,0.8
924,10475,12-Aug-09,17,17,30,1
925,10475,12-Aug-09,17,18,29,1.2
926,10475,12-Aug-09,17,19,27,1.1
927,10475,12-Aug-09,17,20,28,0.7
403,10475,12-Aug-09,5,15,32,1.6
713,10475,12-Aug-09,11,7,38,4.4
230,10475,31-Aug-09,1,1,37,4.6
231,10475,31-Aug-09,1,2,38,3.7
232,10475,31-Aug-09,1,3,40,4.7
233,10475,31-Aug-09,1,4,37,4.1
234,10475,31-Aug-09,1,5,36,4.5
235,10475,31-Aug-09,1,6,37,4.1
236,10475,31-Aug-09,1,7,36,3.3
237,10475,31-Aug-09,1,8,33,1
238,10475,31-Aug-09,1,9,35,1.7
239,10475,31-Aug-09,1,10,27,0.3
240,10475,31-Aug-09,1,11,32,1.2
241,10475,31-Aug-09,1,12,31,1
242,10475,31-Aug-09,1,13,30,1
243,10475,31-Aug-09,1,14,28,0.6
244,10475,31-Aug-09,1,15,30,1
245,10475,31-Aug-09,1,16,29,0.9
246,10475,31-Aug-09,1,17,29,1
247,10475,31-Aug-09,1,18,28,0.6
248,10475,31-Aug-09,1,19,27,0.8
249,10475,31-Aug-09,1,20, na, na
404,10475,31-Aug-09,5,1,39,5.6
405,10475,31-Aug-09,5,2,38,4.1
406,10475,31-Aug-09,5,3,37,3.9
407,10475,31-Aug-09,5,4,38,8.1
408,10475,31-Aug-09,5,5,38,6
409,10475,31-Aug-09,5,6,39,4.9
410,10475,31-Aug-09,5,7,36,3.7
411,10475,31-Aug-09,5,8,28,0.9
412,10475,31-Aug-09,5,9,31,1.1
413,10475,31-Aug-09,5,10,31,1.7
414,10475,31-Aug-09,5,11,29,1.3
415,10475,31-Aug-09,5,12,33,1.2
416,10475,31-Aug-09,5,13,28,1.1
417,10475,31-Aug-09,5,14,29,0.9
418,10475,31-Aug-09,5,15,28,0.8
419,10475,31-Aug-09,5,16,29,1.3
420,10475,31-Aug-09,5,17,28,1
421,10475,31-Aug-09,5,18, na, na
422,10475,31-Aug-09,5,19, na, na
423,10475,31-Aug-09,5,20, na, na
534,10475,31-Aug-09,7,1,37,3.8
535,10475,31-Aug-09,7,2,29,0.9
536,10475,31-Aug-09,7,3,31,1.3
537,10475,31-Aug-09,7,4,31,1.7
538,10475,31-Aug-09,7,5,31,1.8
539,10475,31-Aug-09,7,6,31,1.6
540,10475,31-Aug-09,7,7,31,1.2
541,10475,31-Aug-09,7,8,30,1.1
542,10475,31-Aug-09,7,9,31,1.3
543,10475,31-Aug-09,7,10,31,1
714,10475,31-Aug-09,11,1,37,4.2
715,10475,31-Aug-09,11,2,37,4.1
716,10475,31-Aug-09,11,3,36,4.2
717,10475,31-Aug-09,11,4,37,4.4
718,10475,31-Aug-09,11,5,31,1.2
719,10475,31-Aug-09,11,6,30,1.1
720,10475,31-Aug-09,11,7,31,1.2
721,10475,31-Aug-09,11,8,29,1.2
722,10475,31-Aug-09,11,9,29,1.1
723,10475,31-Aug-09,11,10,28,1.1
934,10475,31-Aug-09,17,1,32,1.4
935,10475,31-Aug-09,17,2,37,4.2
936,10475,31-Aug-09,17,3,37,4.2
937,10475,31-Aug-09,17,4,39,3.7
938,10475,31-Aug-09,17,5,37,3.3
939,10475,31-Aug-09,17,6, na,1.7
940,10475,31-Aug-09,17,7,28,0.9
941,10475,31-Aug-09,17,8,31,1.2
942,10475,31-Aug-09,17,9,31,1.4
943,10475,31-Aug-09,17,10,29,1.1
944,10475,31-Aug-09,17,11,30,0.9
945,10475,31-Aug-09,17,12,29,0.4
946,10475,31-Aug-09,17,13,28,0.9
947,10475,31-Aug-09,17,14,31,1.4
948,10475,31-Aug-09,17,15,28,1
949,10475,31-Aug-09,17,16,29,1
950,10475,31-Aug-09,17,17,31,1.2
951,10475,31-Aug-09,17,18,31,1.1
952,10475,31-Aug-09,17,19,30,1
953,10475,31-Aug-09,17,20, na, na
250,10475,21-Sep-09,1,1,40,4.5
251,10475,21-Sep-09,1,2,39,4.3
252,10475,21-Sep-09,1,3,38,3.3
253,10475,21-Sep-09,1,4,38,3.9
254,10475,21-Sep-09,1,5,38,3.6
255,10475,21-Sep-09,1,6,33,1.6
256,10475,21-Sep-09,1,7,31,1.2
257,10475,21-Sep-09,1,8,33,1.8
258,10475,21-Sep-09,1,9,28,0.4
259,10475,21-Sep-09,1,10,36,1.3
260,10475,21-Sep-09,1,11,28,0.9
261,10475,21-Sep-09,1,12,28,0.7
262,10475,21-Sep-09,1,13,30,0.9
263,10475,21-Sep-09,1,14,28,0.8
264,10475,21-Sep-09,1,15,29,0.9
265,10475,21-Sep-09,1,16,28,0.6
266,10475,21-Sep-09,1,17,28,0.6
267,10475,21-Sep-09,1,18, na, na
268,10475,21-Sep-09,1,19, na, na
269,10475,21-Sep-09,1,20, na, na
322,10475,21-Sep-09,2,1,37,4
323,10475,21-Sep-09,2,2,36,2.6
324,10475,21-Sep-09,2,3,37,3.5
325,10475,21-Sep-09,2,4,31,0.8
326,10475,21-Sep-09,2,5,29,1.2
327,10475,21-Sep-09,2,6,30,1
328,10475,21-Sep-09,2,7,30,1.2
329,10475,21-Sep-09,2,8,30,0.9
330,10475,21-Sep-09,2,9,31,1.4
331,10475,21-Sep-09,2,10,30,1.1
332,10475,21-Sep-09,2,11,31,1.1
333,10475,21-Sep-09,2,12,30,1.3
334,10475,21-Sep-09,2,13,34,1.2
335,10475,21-Sep-09,2,14,29,1
336,10475,21-Sep-09,2,15,30,1.1
337,10475,21-Sep-09,2,16,29,0.9
338,10475,21-Sep-09,2,17,31,1.2
339,10475,21-Sep-09,2,18,29,0.7
340,10475,21-Sep-09,2,19,31,1.3
341,10475,21-Sep-09,2,20,28,0.9
353,10475,21-Sep-09,3,1,32,1.9
354,10475,21-Sep-09,3,2,31,1.6
360,10475,21-Sep-09,4,1,34,2.6
361,10475,21-Sep-09,4,2,33,2.1
424,10475,21-Sep-09,5,1,40,7.8
425,10475,21-Sep-09,5,2,40,5.1
426,10475,21-Sep-09,5,3,38,4.1
427,10475,21-Sep-09,5,4,37,3.8
428,10475,21-Sep-09,5,5,37,3.4
429,10475,21-Sep-09,5,6,31,1.3
430,10475,21-Sep-09,5,7,31,1.6
431,10475,21-Sep-09,5,8,31,1.8
432,10475,21-Sep-09,5,9,36,2.1
433,10475,21-Sep-09,5,10,31,1.5
434,10475,21-Sep-09,5,11,31,1.7
435,10475,21-Sep-09,5,12,29,1.2
436,10475,21-Sep-09,5,13,28,1.2
437,10475,21-Sep-09,5,14,28,0.8
438,10475,21-Sep-09,5,15,29,1.2
439,10475,21-Sep-09,5,16,28,1
440,10475,21-Sep-09,5,17,29,1
441,10475,21-Sep-09,5,18,30,1.3
442,10475,21-Sep-09,5,19,29,1.1
443,10475,21-Sep-09,5,20,28,0.9
544,10475,21-Sep-09,7,1,37,3.6
545,10475,21-Sep-09,7,2,32,1.3
546,10475,21-Sep-09,7,3,31,1.2
547,10475,21-Sep-09,7,4,31,1.2
548,10475,21-Sep-09,7,5,31,1.5
549,10475,21-Sep-09,7,6,32,1.5
550,10475,21-Sep-09,7,7,30,1.2
551,10475,21-Sep-09,7,8,31,1.1
552,10475,21-Sep-09,7,9,31,1.2
553,10475,21-Sep-09,7,10,28,1.1
689,10475,21-Sep-09,10,1,31,1.7
690,10475,21-Sep-09,10,2,37,3.9
724,10475,21-Sep-09,11,1,37,3.8
725,10475,21-Sep-09,11,2,29,1.1
726,10475,21-Sep-09,11,3,29, na
727,10475,21-Sep-09,11,4,37,3.9
728,10475,21-Sep-09,11,5,31,1.2
729,10475,21-Sep-09,11,6,29,1
730,10475,21-Sep-09,11,7,31,1.2
731,10475,21-Sep-09,11,8,37,4.3
732,10475,21-Sep-09,11,9,38,4.3
733,10475,21-Sep-09,11,10, na, na
783,10475,21-Sep-09,13,1,32, na
784,10475,21-Sep-09,13,2,27,1
785,10475,21-Sep-09,13,3,28,1.2
786,10475,21-Sep-09,13,4,31,1.3
787,10475,21-Sep-09,13,5,29,0.8
788,10475,21-Sep-09,13,6,31,1.7
789,10475,21-Sep-09,13,7,29,0.9
790,10475,21-Sep-09,13,8,31,1.2
791,10475,21-Sep-09,13,9,36,2.8
792,10475,21-Sep-09,13,10,37,3.5
825,10475,21-Sep-09,15,1,31,1.4
826,10475,21-Sep-09,15,2,37,3.6
848,10475,21-Sep-09,16,1,38,4
849,10475,21-Sep-09,16,2,38,3.5
850,10475,21-Sep-09,16,3,31,1.8
851,10475,21-Sep-09,16,4,30,1.2
852,10475,21-Sep-09,16,5,33,1.8
853,10475,21-Sep-09,16,6,30,1.1
854,10475,21-Sep-09,16,7,31,1.1
855,10475,21-Sep-09,16,8,29,1
856,10475,21-Sep-09,16,9,30,0.9
857,10475,21-Sep-09,16,10,30,1
954,10475,21-Sep-09,17,1,37,3.9
955,10475,21-Sep-09,17,2,38,4
956,10475,21-Sep-09,17,3,37,2.9
957,10475,21-Sep-09,17,4,32,1.7
958,10475,21-Sep-09,17,5,33, na
959,10475,21-Sep-09,17,6,34,1.9
960,10475,21-Sep-09,17,7,31,1.2
961,10475,21-Sep-09,17,8,31,1.2
962,10475,21-Sep-09,17,9,29,1.2
963,10475,21-Sep-09,17,10,29,0.8
964,10475,21-Sep-09,17,11,29,0.9
965,10475,21-Sep-09,17,12,29,1
966,10475,21-Sep-09,17,13,28,1
967,10475,21-Sep-09,17,14,29,1.2
968,10475,21-Sep-09,17,15,29,0.4
969,10475,21-Sep-09,17,16,28,0.9
970,10475,21-Sep-09,17,17,28,0.7
971,10475,21-Sep-09,17,18,30,1.4
972,10475,21-Sep-09,17,19, na, na
973,10475,21-Sep-09,17,20, na, na
